NU_ANO_CENSO|CO_OCDE_AREA_GERAL|NO_OCDE_AREA_GERAL|CO_OCDE_AREA_ESPECIFICA|NO_OCDE_AREA_ESPECIFICA|CO_OCDE_AREA_DETALHADA|NO_OCDE_AREA_DETALHADA|CO_OCDE|NO_OCDE
2017|2|Humanidades e artes|21|Artes|213|Técnicas audiovisuais e produção de mídia|213A03|Arte para publicações
2017|1|Educação|14|Formação de professor e ciências da educação|142|Ciências da educação|142P01|Pedagogia
2017|1|Educação|14|Formação de professor e ciências da educação|142|Ciências da educação|142S01|Supervisão educacional
2017|1|Educação|14|Formação de professor e ciências da educação|144|Formação de professor da educação básica|144F02|Formação de professor das séries iniciais do ensino fundamental
2017|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|145F04|Formação de professor de educação cívica
2017|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|145F11|Formação de professor de história
2017|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|520|Engenharia e profissões de engenharia (cursos gerais)|520C01|Controle de qualidade (técnico)
2017|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|520|Engenharia e profissões de engenharia (cursos gerais)|520E06|Engenharia industrial
2017|3|Ciências sociais, negócios e direito|38|Direito|380|Direito|380D01|Direito
2017|3|Ciências sociais, negócios e direito|38|Direito|380|Direito|380D04|Direito comercial
2017|3|Ciências sociais, negócios e direito|38|Direito|380|Direito|380D08|Direito financeiro e tributário
2017|3|Ciências sociais, negócios e direito|38|Direito|380|Direito|380D14|Direito público
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581A02|Arquitetura de grandes estruturas
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581A03|Arquitetura de interiores
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581C01|Cartografia / topografia
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581D01|Desenho arquitetônico
2017|7|Saúde e bem estar social|72|Saúde|721|Medicina|721G01|Gerontologia
2017|3|Ciências sociais, negócios e direito|34|Comércio e administração|345|Gerenciamento e administração|345G09|Gestão de pessoal / recursos humanos
2017|3|Ciências sociais, negócios e direito|34|Comércio e administração|345|Gerenciamento e administração|345T02|Treinamento empresarial
2017|3|Ciências sociais, negócios e direito|34|Comércio e administração|346|Secretariado e trabalhos de escritório|346S05|Secretariado na área jurídica
2017|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|523|Eletrônica e automação|523E06|Engenharia de controle
2017|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|525|Veículos a motor, construção naval e aeronáutica|525M01|Manutenção aeronáutica
2017|5|Engenharia, produção e construção|54|Produção e processamento|540|Fabricação e processamento (cursos gerais)|540F01|Fabricação e processamento
2017|5|Engenharia, produção e construção|54|Produção e processamento|541|Processamento de alimentos|541D01|Destilaria
2017|5|Engenharia, produção e construção|54|Produção e processamento|541|Processamento de alimentos|541F02|Fabricação de doces
2017|5|Engenharia, produção e construção|54|Produção e processamento|541|Processamento de alimentos|541P01|Preparação de alimentos
2017|5|Engenharia, produção e construção|54|Produção e processamento|541|Processamento de alimentos|541P06|Processamento de fumo
2017|5|Engenharia, produção e construção|54|Produção e processamento|544|Mineração e extração|544M01|Mineração de carvão
2017|5|Engenharia, produção e construção|54|Produção e processamento|544|Mineração e extração|544T02|Tecnologia mineral
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581A04|Arquitetura e paisagismo
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581D04|Design e planejamento arquitetônico urbano
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581P05|Planejamento de cidades de médio e pequeno porte
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|582|Engenharia civil e de construção|582C01|Cantaria
2017|6|Agricultura e veterinária|62|Agricultura, florestas e recursos pesqueiros|621|Produção agrícola e pecuária|621C05|Criação de animais
2017|6|Agricultura e veterinária|62|Agricultura, florestas e recursos pesqueiros|621|Produção agrícola e pecuária|621F01|Fruticultura
